,rf-max_depth,train_p,mean_auc
0,10.0,70.0,0.7185535265561316
1,11.0,70.0,0.6690440040391433
2,12.0,70.0,0.6841544923890609
3,13.0,70.0,0.6728847361867449
4,14.0,70.0,0.6667490057934014
5,15.0,70.0,0.6643995388297472
6,16.0,70.0,0.6595154305424704
7,17.0,70.0,0.6629697428966851
8,18.0,70.0,0.701666296816803
9,19.0,70.0,0.6501916792357969
10,20.0,70.0,0.6589451445142087
11,21.0,70.0,0.6627827034077034
12,22.0,70.0,0.6425154898697554
13,23.0,70.0,0.6514203410267666
14,24.0,70.0,0.6380542712019904
15,10.0,75.0,0.6226427554942011
16,11.0,75.0,0.680824187604848
17,12.0,75.0,0.6792410521577188
18,13.0,75.0,0.6531484781866302
19,14.0,75.0,0.6459312136160508
20,15.0,75.0,0.7109927011113192
21,16.0,75.0,0.6385876537224576
22,17.0,75.0,0.6820160647314601
23,18.0,75.0,0.6562611357819149
24,19.0,75.0,0.649679403650608
25,20.0,75.0,0.6343458109739621
26,21.0,75.0,0.7040857902990256
27,22.0,75.0,0.6578392794183366
28,23.0,75.0,0.6780844155844156
29,24.0,75.0,0.708922185904917
30,10.0,80.0,0.6744995408631772
31,11.0,80.0,0.6003512396694215
32,12.0,80.0,0.6715956145303972
33,13.0,80.0,0.6706442178553756
34,14.0,80.0,0.6925063708104447
35,15.0,80.0,0.6658354514666274
36,16.0,80.0,0.6425549558666441
37,17.0,80.0,0.6853605769230768
38,18.0,80.0,0.707851941111745
39,19.0,80.0,0.6660879850825503
40,20.0,80.0,0.6779994576141127
41,21.0,80.0,0.6860897699546309
42,22.0,80.0,0.6259883409273652
43,23.0,80.0,0.664868662723172
44,24.0,80.0,0.6180705371378304
45,10.0,85.0,0.6157986111111111
46,11.0,85.0,0.6013463718820862
47,12.0,85.0,0.6961083448734658
48,13.0,85.0,0.7298966599102985
49,14.0,85.0,0.6548917383831995
50,15.0,85.0,0.6502555709783914
51,16.0,85.0,0.6521345245117567
52,17.0,85.0,0.5899349773693261
53,18.0,85.0,0.6533647452138236
54,19.0,85.0,0.6638608870967742
55,20.0,85.0,0.7358080328905756
56,21.0,85.0,0.6090639854426619
57,22.0,85.0,0.7160903270133145
58,23.0,85.0,0.6833504838070777
59,24.0,85.0,0.6647086143015766
